id,runName,sourceRun,timestamp,authorId,statusId,statusLabel,instant,type,operations,credits,transfer,duration,executionDetailLink,sourceRunLink
4cf8116eb4c145a3b20d4c3e10e919be,,,2026-08-12T08:04:37+10:00,,1,success,true,auto,10,10.00,734929,51167,https://eu2.make.com/1569833/scenarios/9613221/logs/4cf8116eb4c145a3b20d4c3e10e919be,
108a8ebde13b4c56b84ea4394bb1887a,,,2026-08-10T18:12:05+10:00,,1,success,true,auto,10,10.00,703309,45526,https://eu2.make.com/1569833/scenarios/9613221/logs/108a8ebde13b4c56b84ea4394bb1887a,
0dbc8d720f1a45399ed1a0ea5d57c47d,,,2026-08-10T18:01:11+10:00,,1,success,true,auto,10,10.00,687548,45232,https://eu2.make.com/1569833/scenarios/9613221/logs/0dbc8d720f1a45399ed1a0ea5d57c47d,
892a238d2dd74eb39aa53b141448483f,,,2026-08-10T01:07:21+10:00,,1,success,true,auto,10,10.00,679006,37063,https://eu2.make.com/1569833/scenarios/9613221/logs/892a238d2dd74eb39aa53b141448483f,
0e6c5b5711e244d5bf9353b332fe9473,,,2026-08-09T18:41:33+10:00,,1,success,true,auto,10,10.00,682681,35275,https://eu2.make.com/1569833/scenarios/9613221/logs/0e6c5b5711e244d5bf9353b332fe9473,
ac9224a964d84b4bb64acc92e85bd9fd,,,2026-08-08T13:13:53+10:00,,1,success,true,auto,10,10.00,685780,38606,https://eu2.make.com/1569833/scenarios/9613221/logs/ac9224a964d84b4bb64acc92e85bd9fd,
feb1ece46c8f40faa7e33ba1786a5300,,,2026-08-07T18:21:08+10:00,,1,success,true,auto,10,10.00,687077,48115,https://eu2.make.com/1569833/scenarios/9613221/logs/feb1ece46c8f40faa7e33ba1786a5300,
e7e81931a9ba443894be9d55730c29c4,,,2026-08-07T16:15:17+10:00,,1,success,true,auto,10,10.00,762563,67654,https://eu2.make.com/1569833/scenarios/9613221/logs/e7e81931a9ba443894be9d55730c29c4,
335d2ca15958473a9d94f92267feb712,,,2026-08-07T16:13:50+10:00,,3,error,true,auto,4,4.00,263459,21784,https://eu2.make.com/1569833/scenarios/9613221/logs/335d2ca15958473a9d94f92267feb712,
a68e051aff8142368c34c6294b168a93,,,2026-08-07T15:33:14+10:00,,1,success,true,auto,10,10.00,712284,53133,https://eu2.make.com/1569833/scenarios/9613221/logs/a68e051aff8142368c34c6294b168a93,
2fbe5f45a6ac4d13a4f0cd48be67125b,,,2026-08-07T15:22:35+10:00,,1,success,true,auto,10,10.00,694126,38332,https://eu2.make.com/1569833/scenarios/9613221/logs/2fbe5f45a6ac4d13a4f0cd48be67125b,
715f5d671ba44b5780458e12d6719370,,,2026-08-07T15:20:23+10:00,,3,error,true,auto,4,4.00,256559,68045,https://eu2.make.com/1569833/scenarios/9613221/logs/715f5d671ba44b5780458e12d6719370,
c3fabed157d4478191953d3fcad23536,,,2026-08-07T14:31:01+10:00,,1,success,true,auto,10,10.00,700859,50093,https://eu2.make.com/1569833/scenarios/9613221/logs/c3fabed157d4478191953d3fcad23536,
5287a1fa5b4a42c78501b8e49b92f8ab,,,2026-08-07T14:21:24+10:00,,1,success,true,auto,10,10.00,703487,44312,https://eu2.make.com/1569833/scenarios/9613221/logs/5287a1fa5b4a42c78501b8e49b92f8ab,
0d0fbbaeabba43b085fb99e9d7581dfb,,,2026-08-07T14:16:03+10:00,3602994,1,success,true,manual,10,10.00,681753,35401,https://eu2.make.com/1569833/scenarios/9613221/logs/0d0fbbaeabba43b085fb99e9d7581dfb,
